trip,site,orthomosaic_resolution,DEM_resolution,dense_cloud_quality,aligned_photos
2014_04,cooks_path,0.001,0.002,,1563
2014_04,corner_beach,0.001,0.004,,1579
2014_04,easter_point,,,,1406
2014_04,gnarly_tree,0.001,0.003,,1423
2014_04,horseshoe,0.001,0.003,,1520
2014_04,lagoon_1,0.001,0.002,,1329
2014_04,lagoon_2,0.001,0.002,,1446
2014_04,lizard_head,0.001,0.002,,1443
2014_04,no_mans_land,0.001,0.002,,1587
2014_04,north_of_paradise,0.001,0.002,,1381
2014_04,north_reef_1,0.001,0.002,,1278
2014_04,north_reef_2,0.001,0.003,,1409
2014_04,north_reef_3,0.001,0.002,,1382
2014_04,osprey,0.001,0.002,,1626
2014_04,resort,0.001,0.003,,1432
2014_04,south_island,no file,no file,no file,no file
2014_04,southeast,0.001,0.002,,1406
2014_04,trimodal,0.001,0.002,,1329
2014_04,turtle_beach,0.001,0.003,,1223
2014_04,vickis,0.001,0.003,,1430
2014_04,washing_machine,,0.003,,1373
2014_10,cooks_path,0.001,0.002,,1563
2014_10,corner_beach,0.001,0.003,,1669
2014_10,easter_point,0.001,0.002,,1715
2014_10,gnarly_tree,0.001,0.003,,1394
2014_10,gnarly_tree,0.001,0.003,,1394
2014_10,horseshoe,0.001,0.003,,1600
2014_10,horseshoe,0.001,0.003,,1600
2014_10,lagoon_1,0.001,0.002,,1423
2014_10,lagoon_1,error,error,error,error
2014_10,lagoon_2,0.001,0.003,,1643
2014_10,lizard_head,0.001,0.003,,1455
2014_10,lizard_head,0.001,0.003,,1454
2014_10,no_mans_land,0.001,0.001,,2094
2014_10,no_mans_land,0.001,0.001,,2092
2014_10,north_of_paradise,,,,1484
2014_10,north_of_paradise,0.001,0.002,,1483
2014_10,north_reef_1,0.001,0.003,,1399
2014_10,north_reef_2,0.001,0.003,,1572
2014_10,north_reef_3,0.001,0.003,,1422
2014_10,osprey,0.001,0.003,,1327
2014_10,resort,0.001,0.003,,1532
2014_10,south_island,no file,no file,no file,no file
2014_10,southeast,0.001,0.002,,1507
2014_10,trimodal,0.001,0.002,,1334
2014_10,turtle_beach,0.001,0.002,,1928
2014_10,vickis,0.001,0.003,,1523
2014_10,washing_machine,0.001,0.001,,2882
2015_05,cooks_path,,,,1624
2015_05,corner_beach,0.002,0.004,,1940
2015_05,easter_point,0.001,0.002,,1891
2015_05,gnarly_tree,0.001,0.002,,1805
2015_05,horseshoe,0.001,0.003,,1721
2015_05,lagoon_1,0.001,0.002,,2118
2015_05,lagoon_2,0.001,0.002,,1674
2015_05,lizard_head,0.001,0.002,,1804
2015_05,no_mans_land,0.001,0.002,,1938
2015_05,north_of_paradise,0.001,0.002,,2067
2015_05,north_reef_1,0.001,0.003,,1557
2015_05,north_reef_2,no file,no file,no file,no file
2015_05,north_reef_3,0.001,0.002,,1938
2015_05,osprey,0.001,0.003,,1689
2015_05,resort,0.001,0.003,,1700
2015_05,south_island,no file,no file,no file,no file
2015_05,southeast,0.001,0.002,,1998
2015_05,trimodal,no file,no file,no file,no file
2015_05,turtle_beach,0.001,0.002,,1483
2015_05,vickis,,,,1641
2015_05,washing_machine,0.001,0.002,,1866
2015_11,cooks_path,0.001,0.002,,1576
2015_11,corner_beach,0.001,0.004,,1440
2015_11,easter_point,0.001,0.002,,1453
2015_11,gnarly_tree,0.001,0.002,,1480
2015_11,horseshoe,0.001,0.003,,1233
2015_11,lagoon_1,error,error,error,error
2015_11,lagoon_1,,,,1198
2015_11,lagoon_2,0.001,0.002,,1343
2015_11,lizard_head,0.001,0.003,,1309
2015_11,no_mans_land,0.001,0.002,,1406
2015_11,north_of_paradise,,,,1600
2015_11,north_of_paradise,0.001,0.002,,1600
2015_11,north_reef_1,0.001,0.002,,1205
2015_11,north_reef_2,0.001,0.003,,1567
2015_11,north_reef_3,0.001,0.002,,1219
2015_11,osprey,0.001,0.002,,1474
2015_11,resort,0.001,0.003,,1653
2015_11,south_island,no file,no file,no file,no file
2015_11,southeast,0.001,0.002,,1543
2015_11,trimodal,0.001,0.002,,1718
2015_11,turtle_beach,0.001,0.002,,1465
2015_11,vickis,0.001,0.003,,1654
2015_11,washing_machine,0.001,0.002,,1611
2016_11,cooks_path,0.001,0.003,,1391
2016_11,corner_beach,0.001,0.004,,1618
2016_11,easter_point,0.001,0.002,,1664
2016_11,gnarly_tree,0.001,0.002,,1795
2016_11,horseshoe,0.001,0.003,,1348
2016_11,lagoon_1,0.001,0.002,,1571
2016_11,lagoon_2,0.001,0.002,,1683
2016_11,lizard_head,0.001,0.002,,1690
2016_11,no_mans_land,0.001,0.002,,1751
2016_11,north_of_paradise,0.001,0.002,,1842
2016_11,north_reef_1,0.001,0.003,,1352
2016_11,north_reef_2,0.001,0.003,,1678
2016_11,north_reef_3,0.001,0.003,,1633
2016_11,osprey,0.001,0.003,,1326
2016_11,resort,0.001,0.003,,1702
2016_11,south_island,0.001,0.003,,1547
2016_11,southeast,0.001,0.002,,1793
2016_11,trimodal,0.001,0.002,,1575
2016_11,turtle_beach,0.001,0.002,,1424
2016_11,vickis,0.001,0.003,,1430
2016_11,washing_machine,0.001,0.002,,1379
2017_11,cooks_path,0.001,0.002,,1573
2017_11,corner_beach,,,,1692
2017_11,easter_point,,,,1219
2017_11,gnarly_tree,,,,1616
2017_11,horseshoe,0.001,0.003,,1559
2017_11,lagoon_1,0.001,0.003,,1557
2017_11,lagoon_2,,,,1361
2017_11,lizard_head,0.001,0.002,,1658
2017_11,no_mans_land,0.001,0.002,,1477
2017_11,north_of_paradise,0.001,0.002,,1339
2017_11,north_of_paradise,error,error,error,error
2017_11,north_reef_1,,,,0
2017_11,north_reef_1,error,error,error,error
2017_11,north_reef_2,0.001,0.003,,1641
2017_11,north_reef_2,error,error,error,error
2017_11,north_reef_3,0.001,0.002,,1534
2017_11,north_reef_3,error,error,error,error
2017_11,osprey,0.001,0.002,,1591
2017_11,resort,0.001,0.002,,1640
2017_11,south_island,0.001,0.002,,1595
2017_11,southeast,0.001,0.002,,1241
2017_11,trimodal,,,,1737
2017_11,trimodal,error,error,error,error
2017_11,turtle_beach,0.001,0.002,,1482
2017_11,turtle_beach,error,error,error,error
2017_11,vickis,0.001,0.003,,1866
2017_11,washing_machine,0.001,0.003,,1504
2018_11,cooks_path,0.001,0.002,,1435
2018_11,corner_beach,0.001,0.003,,2298
2018_11,easter_point,no file,no file,no file,no file
2018_11,gnarly_tree,error,error,error,error
2018_11,horseshoe,0.001,0.003,,1522
2018_11,lagoon_1,error,error,error,error
2018_11,lagoon_2,0.001,0.003,,1557
2018_11,lizard_head,0.001,0.003,,1525
2018_11,no_mans_land,no file,no file,no file,no file
2018_11,north_of_paradise,,,,1393
2018_11,north_reef_1,error,error,error,error
2018_11,north_reef_2,0.001,0.003,,1966
2018_11,north_reef_2,,,,1966
2018_11,north_reef_3,,,,1540
2018_11,osprey,0.001,0.002,,1868
2018_11,resort,0.001,0.002,,1852
2018_11,south_island,0.001,0.002,,1550
2018_11,southeast,,,,1376
2018_11,trimodal,0.001,0.003,,1434
2018_11,turtle_beach,,,,1512
2018_11,vickis,no file,no file,no file,no file
2018_11,washing_machine,no file,no file,no file,no file
2019_11,cooks_path,0.001,0.002,,1553
2019_11,corner_beach,0.001,0.003,,1691
2019_11,easter_point,0.001,0.002,,1376
2019_11,gnarly_tree,0.001,0.002,,1321
2019_11,horseshoe,0.001,0.002,,1548
2019_11,lagoon_1,0.001,0.002,,1380
2019_11,lagoon_2,0.001,0.003,,1523
2019_11,lizard_head,no file,no file,no file,no file
2019_11,no_mans_land,no file,no file,no file,no file
2019_11,north_of_paradise,no file,no file,no file,no file
2019_11,north_reef_1,no file,no file,no file,no file
2019_11,north_reef_2,no file,no file,no file,no file
2019_11,north_reef_3,no file,no file,no file,no file
2019_11,osprey,no file,no file,no file,no file
2019_11,resort,no file,no file,no file,no file
2019_11,south_island,no file,no file,no file,no file
2019_11,southeast,no file,no file,no file,no file
2019_11,trimodal,no file,no file,no file,no file
2019_11,turtle_beach,no file,no file,no file,no file
2019_11,vickis,no file,no file,no file,no file
2019_11,washing_machine,no file,no file,no file,no file
2021_03,cooks_path,0.000,0.003,,1606
2021_03,corner_beach,0.000,0.007,,1739
2021_03,easter_point,no file,no file,no file,no file
2021_03,gnarly_tree,no file,no file,no file,no file
2021_03,horseshoe,0.001,0.006,,1888
2021_03,lagoon_1,no file,no file,no file,no file
2021_03,lagoon_2,no file,no file,no file,no file
2021_03,lizard_head,no file,no file,no file,no file
2021_03,no_mans_land,no file,no file,no file,no file
2021_03,north_of_paradise,no file,no file,no file,no file
2021_03,north_reef_1,no file,no file,no file,no file
2021_03,north_reef_2,no file,no file,no file,no file
2021_03,north_reef_3,no file,no file,no file,no file
2021_03,osprey,no file,no file,no file,no file
2021_03,resort,no file,no file,no file,no file
2021_03,south_island,no file,no file,no file,no file
2021_03,southeast,no file,no file,no file,no file
2021_03,trimodal,no file,no file,no file,no file
2021_03,turtle_beach,no file,no file,no file,no file
2021_03,vickis,no file,no file,no file,no file
2021_03,washing_machine,no file,no file,no file,no file
2022_04,cooks_path,,,,1527
2022_04,corner_beach,,,,1922
2022_04,easter_point,no file,no file,no file,no file
2022_04,gnarly_tree,no file,no file,no file,no file
2022_04,horseshoe,no file,no file,no file,no file
2022_04,lagoon_1,no file,no file,no file,no file
2022_04,lagoon_2,no file,no file,no file,no file
2022_04,lizard_head,no file,no file,no file,no file
2022_04,no_mans_land,no file,no file,no file,no file
2022_04,north_of_paradise,no file,no file,no file,no file
2022_04,north_reef_1,no file,no file,no file,no file
2022_04,north_reef_2,no file,no file,no file,no file
2022_04,north_reef_3,no file,no file,no file,no file
2022_04,osprey,no file,no file,no file,no file
2022_04,resort,no file,no file,no file,no file
2022_04,south_island,no file,no file,no file,no file
2022_04,southeast,no file,no file,no file,no file
2022_04,trimodal,no file,no file,no file,no file
2022_04,turtle_beach,no file,no file,no file,no file
2022_04,vickis,no file,no file,no file,no file
2022_04,washing_machine,no file,no file,no file,no file
2022_11,cooks_path,0.000,0.004,,1575
2022_11,corner_beach,,,,1770
2022_11,easter_point,no file,no file,no file,no file
2022_11,gnarly_tree,no file,no file,no file,no file
2022_11,horseshoe,0.001,0.005,,1381
2022_11,lagoon_1,no file,no file,no file,no file
2022_11,lagoon_2,no file,no file,no file,no file
2022_11,lizard_head,0.001,0.003,,3744
2022_11,no_mans_land,no file,no file,no file,no file
2022_11,north_of_paradise,no file,no file,no file,no file
2022_11,north_reef_1,no file,no file,no file,no file
2022_11,north_reef_2,no file,no file,no file,no file
2022_11,north_reef_3,no file,no file,no file,no file
2022_11,osprey,no file,no file,no file,no file
2022_11,resort,no file,no file,no file,no file
2022_11,south_island,0.001,0.003,,3744
2022_11,southeast,no file,no file,no file,no file
2022_11,trimodal,no file,no file,no file,no file
2022_11,turtle_beach,no file,no file,no file,no file
2022_11,vickis,no file,no file,no file,no file
2022_11,washing_machine,no file,no file,no file,no file
2023_11,cooks_path,0.000,0.001,,2554
2023_11,corner_beach,0.000,0.001,,3024
2023_11,easter_point,no file,no file,no file,no file
2023_11,gnarly_tree,,,,3468
2023_11,horseshoe,0.001,0.001,,3912
2023_11,lagoon_1,0.000,0.001,,3653
2023_11,lagoon_2,0.001,0.001,,3461
2023_11,lizard_head,0.001,0.001,,3358
2023_11,no_mans_land,0.001,0.001,,3436
2023_11,north_of_paradise,0.001,0.001,,3662
2023_11,north_reef_1,0.001,0.001,,2886
2023_11,north_reef_2,0.001,0.001,,4413
2023_11,north_reef_3,0.000,0.001,,6638
2023_11,osprey,0.001,0.002,,3750
2023_11,resort,0.000,0.002,,3717
2023_11,south_island,0.000,0.001,,3374
2023_11,southeast,0.001,0.001,,3416
2023_11,trimodal,0.000,0.001,,3576
2023_11,turtle_beach,0.001,0.001,,2958
2023_11,vickis,0.000,0.001,,3989
2023_11,washing_machine,0.000,0.001,,3518
