trip,site,images,images_eng,metashape_files,products,products_old,dem_res
2014_04,cooks_path,False,True,exists,False,True,
2014_04,corner_beach,False,True,exists,False,True,
2014_04,easter_point,False,True,exists,False,True,
2014_04,gnarly_tree,False,True,exists,False,True,
2014_04,horseshoe,False,True,ERROR,False,True,
2014_04,lagoon_1,False,True,exists,False,True,
2014_04,lagoon_2,False,True,exists,False,True,
2014_04,lizard_head,False,True,exists,False,True,
2014_04,no_mans_land,False,True,exists,False,True,
2014_04,north_of_paradise,False,True,exists,False,True,
2014_04,north_reef_1,False,True,exists,False,True,
2014_04,north_reef_2,False,True,exists,False,True,
2014_04,north_reef_3,False,True,exists,False,True,
2014_04,osprey,False,True,exists,False,True,
2014_04,resort,False,True,exists,False,True,
2014_04,south_island,False,True,no file,False,True,
2014_04,southeast,False,True,exists,False,True,
2014_04,trimodal,False,False,exists,False,False,
2014_04,turtle_beach,False,True,exists,False,True,
2014_04,vickis,False,True,exists,False,True,
2014_04,washing_machine,False,True,exists,False,True,
2014_10,cooks_path,False,True,ERROR,True,True,
2014_10,corner_beach,False,True,exists,False,True,
2014_10,easter_point,False,True,exists,False,True,
2014_10,gnarly_tree,False,True,ERROR,False,True,
2014_10,horseshoe,False,True,ERROR,False,True,
2014_10,lagoon_1,False,True,ERROR,False,True,
2014_10,lagoon_2,False,True,exists,False,True,
2014_10,lizard_head,False,True,ERROR,False,True,
2014_10,no_mans_land,False,True,ERROR,False,True,
2014_10,north_of_paradise,False,True,ERROR,False,True,
2014_10,north_reef_1,False,True,exists,False,True,
2014_10,north_reef_2,False,True,exists,False,True,
2014_10,north_reef_3,False,True,exists,False,True,
2014_10,osprey,False,True,exists,False,True,
2014_10,resort,False,True,exists,False,True,
2014_10,south_island,False,True,no file,False,True,
2014_10,southeast,False,True,exists,False,True,
2014_10,trimodal,False,True,exists,False,True,
2014_10,turtle_beach,False,True,exists,False,True,
2014_10,vickis,False,True,exists,False,True,
2014_10,washing_machine,False,True,exists,False,True,
2015_05,cooks_path,False,True,exists,False,True,
2015_05,corner_beach,False,True,exists,False,True,
2015_05,easter_point,False,True,exists,False,True,
2015_05,gnarly_tree,False,True,exists,False,True,
2015_05,horseshoe,False,True,exists,False,True,
2015_05,lagoon_1,False,True,exists,False,True,
2015_05,lagoon_2,False,True,exists,False,True,
2015_05,lizard_head,False,True,exists,False,True,
2015_05,no_mans_land,False,True,exists,False,True,
2015_05,north_of_paradise,False,True,exists,False,True,
2015_05,north_reef_1,False,True,exists,False,True,
2015_05,north_reef_2,False,False,no file,False,True,
2015_05,north_reef_3,False,True,exists,False,True,
2015_05,osprey,False,True,exists,False,True,
2015_05,resort,False,True,exists,False,True,
2015_05,south_island,False,True,no file,False,True,
2015_05,southeast,False,True,exists,False,True,
2015_05,trimodal,False,False,no file,False,False,
2015_05,turtle_beach,False,True,exists,False,True,
2015_05,vickis,False,True,exists,False,True,
2015_05,washing_machine,False,True,exists,False,True,
2015_11,cooks_path,False,True,exists,False,True,
